rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
11,CAND_0081808,0.7154759225068092,0.6938426357337406,0.712,1.0,0.723155,0.0,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall fit to the job description, despite weak direct skill matches.","The candidate's skills align with the job description through career context, but there is a weak direct skill match. Similarity to required skills like SQL, Data visualization, and Python is noted, albeit indirectly. No specific skills like haystack, mlops, cnn, elasticsearch, or java are mentioned in the evidence, suggesting a need for further assessment.","The candidate's seniority level aligns with the job requirement, given their latest seniority level of 0.5 and total experience of 6.0 years, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions and a steady seniority level, suggesting stability but limited growth or increasing scope, with 6.0 years of experience.","The candidate is not open to work and has a notice period of 120 days, which may impact availability and requires planning.",Notice period is 120 days — plan timeline accordingly; Passive candidate — outreach required; no recent application activity.,True
12,CAND_0087030,0.7130664842175113,0.6937534469706671,0.7336,0.8518518518518519,0.770375,0.1,"This candidate is a strong match for the Mid-Level Data Analyst based on their overall fit to the job description, despite weak direct skill matches.","The candidate's skills align with the job description through career context, but there is a weak direct skill match. Similarity to required skills like SQL, Data visualization, and Python is noted, albeit indirectly. No specific skills like information retrieval, bm25, powerpoint, object detection, or gcp are mentioned in the evidence, suggesting a need for further assessment.","The candidate's seniority level aligns with the job requirement, given their latest seniority level of 0.5 and total experience of 7.8 years, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions and a steady seniority level, suggesting stability but limited growth or increasing scope, with 7.8 years of experience.","The candidate is not open to work, has a notice period of 90 days, and is considered a passive candidate, requiring outreach and consideration of their availability.",Passive candidate — outreach required; no recent application activity.,True
13,CAND_0073457,0.7131339010620117,0.695411145891462,0.7096,0.9583333333333334,0.74295,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their career context and similarity to the role's requirements.,"The candidate's skills align with the JD's requirements through career context, although a weak direct skill match was observed. Similarities are seen in the context of data analysis, and skills like SQL, Data visualization, and Python for data analysis are relevant, but not directly matched. No specific skills like aws, graphql, java, object detection, or yolo were mentioned, but the candidate's 5.8 years of experience is notable.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5 and 5.8 years of total experience, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions detected, with a total experience of 5.8 years and a latest seniority level of 0.5, suggesting a stable and consistent career path.","The candidate is open to work, with 7 applications in the last 30 days, and a notice period of 90 days, indicating a moderate level of intent and responsiveness.",No flags,True
14,CAND_0047763,0.7124168541346125,0.6939427578449249,0.7312,0.8725925925925926,0.77924,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their career context and similarity to the role's requirements.,"The candidate's skills align with the JD's requirements through career context, although a weak direct skill match was observed. Similarities are seen in the context of data analysis, and skills like project management, deep learning, mlflow, tensorflow, and forecasting are relevant, but not directly matched. The candidate's 7.6 years of experience is notable, and skills like statistical analysis and data visualization are likely to be proficient.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5 and 7.6 years of total experience, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions detected, with a total experience of 7.6 years and a latest seniority level of 0.5, suggesting a stable and consistent career path.","The candidate is open to work, with 9 applications in the last 30 days, and a notice period of 120 days, indicating a moderate level of intent and responsiveness.","The candidate has a notice period of 120 days, which should be considered when planning the timeline.",True
15,CAND_0015577,0.7099215406732559,0.6953244019235884,0.688,1.0,0.69779,0.1,This candidate is a strong match for the Mid-Level Data Analyst based on their career context and similarity to the role's requirements.,"The candidate's skills align with the JD's requirements through career context, although a weak direct skill match was observed. Similarities are seen in the context of data analysis, and skills like qdrant, statistical modeling, powerpoint, opensearch, and kubernetes are relevant, but not directly matched. The candidate's 4.0 years of experience is notable, and certifications like AWS Certified Cloud Practitioner and Six Sigma Green Belt are held.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5 and 4.0 years of total experience, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions detected, with a total experience of 4.0 years and a latest seniority level of 0.5, suggesting a stable and consistent career path.","The candidate is not open to work, with 8 applications in the last 30 days, and a notice period of 90 days, indicating a lower level of intent and responsiveness.","The candidate is a passive candidate and has not had recent application activity, so outreach is required.",True
16,CAND_0090602,0.7053383302847545,0.695133324623108,0.706,0.9327777777777778,0.728125,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their career context and similarity to the role's requirements.,"The candidate's skills align with the JD's requirements through career context, although a weak direct skill match was observed. Similarities are seen in the context of data analysis, and skills like computer vision, gans, reinforcement learning, dbt, and statistical modeling are relevant, but not directly matched. The candidate's 5.5 years of experience is notable, and skills like SQL, Data visualization, and Python for data analysis are likely to be proficient.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5 and 5.5 years of total experience, indicating a mid-level professional.","The candidate's career arc reveals no internal promotions detected, with a total experience of 5.5 years and a latest seniority level of 0.5, suggesting a stable and consistent career path.","The candidate is open to work, with 7 applications in the last 30 days, and a notice period of 60 days, indicating a moderate level of intent and responsiveness.",No flags,True
17,CAND_0059675,0.7025084818148614,0.693052805185318,0.7156,1.0,0.6552,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their total experience of 6.3 years and weak direct skill match with similarity through career context.,"This candidate has a weak direct skill match, with similarity to the required skills through their career context, and no specific skills like scikit-learn or sentence transformers were directly matched. The skills required for the role include SQL, Data visualization, Python for data analysis, and Statistical analysis. The career context suggests a potential for the candidate to have worked with data analysis tools.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5, indicating a mid-level position, and a total experience of 6.3 years. This experience suggests the candidate has had sufficient time to develop the necessary skills for the role.","The candidate's career arc reveals no internal promotions detected, which may indicate a need for new challenges or opportunities. With 6.3 years of experience, the candidate has had time to develop their skills and take on new responsibilities.","The candidate is not open to work, has had 7 applications in the last 30 days, and has a notice period of 120 days, indicating they may require outreach and planning. The candidate's platform activity suggests they are actively looking for a new opportunity.",Notice period is 120 days — plan timeline accordingly; Passive candidate — outreach required; no recent application activity,True
18,CAND_0029413,0.7021278253679275,0.6924709296226501,0.6736,0.9466666666666667,0.746815,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their total experience of 2.8 years and weak direct skill match with similarity through career context.,"This candidate has a weak direct skill match, with similarity to the required skills through their career context, and no specific skills like etl or kubeflow were directly matched. The skills required for the role include SQL, Data visualization, Python for data analysis, and Statistical analysis. The career context suggests a potential for the candidate to have worked with data analysis tools.","The candidate's seniority level may represent a calculated stretch, with a latest seniority level of 0.5, indicating a mid-level position, and a total experience of 2.8 years. This experience suggests the candidate may still be developing the necessary skills for the role.","The candidate's career arc reveals no internal promotions detected, which may indicate a need for new challenges or opportunities. With 2.8 years of experience, the candidate has had less time to develop their skills compared to other candidates.","The candidate is open to work, has had 8 applications in the last 30 days, and has a notice period of 30 days, indicating they are actively looking for a new opportunity. The candidate's platform activity suggests they are highly engaged in their job search.",No flags,True
19,CAND_0007019,0.702197659242524,0.6977183914865766,0.7288,0.8148148148148148,0.74287,0.1,This candidate is a strong match for the Mid-Level Data Analyst based on their total experience of 7.4 years and weak direct skill match with similarity through career context.,"This candidate has a weak direct skill match, with similarity to the required skills through their career context, and no specific skills like hadoop or lora were directly matched. The skills required for the role include SQL, Data visualization, Python for data analysis, and Statistical analysis. The career context suggests a potential for the candidate to have worked with data analysis tools.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5, indicating a mid-level position, and a total experience of 7.4 years. This experience suggests the candidate has had sufficient time to develop the necessary skills for the role.","The candidate's career arc reveals no internal promotions detected, which may indicate a need for new challenges or opportunities. With 7.4 years of experience, the candidate has had time to develop their skills and take on new responsibilities.","The candidate is not open to work, has had 7 applications in the last 30 days, and has a notice period of 90 days, indicating they may require outreach and planning. The candidate's platform activity suggests they are not highly engaged in their job search.",Passive candidate — outreach required; no recent application activity,True
20,CAND_0096759,0.7012534934049447,0.6925261716331754,0.7288,0.8155555555555556,0.77168,0.0,This candidate is a strong match for the Mid-Level Data Analyst based on their total experience of 7.4 years and weak direct skill match with similarity through career context.,"This candidate has a weak direct skill match, with similarity to the required skills through their career context, and no specific skills like sentence transformers or statistical modeling were directly matched. The skills required for the role include SQL, Data visualization, Python for data analysis, and Statistical analysis. The career context suggests a potential for the candidate to have worked with data analysis tools.","The candidate's seniority level aligns with the JD's requirement, with a latest seniority level of 0.5, indicating a mid-level position, and a total experience of 7.4 years. This experience suggests the candidate has had sufficient time to develop the necessary skills for the role.","The candidate's career arc reveals no internal promotions detected, which may indicate a need for new challenges or opportunities. With 7.4 years of experience, the candidate has had time to develop their skills and take on new responsibilities.","The candidate is not open to work, has had 7 applications in the last 30 days, and has a notice period of 120 days, indicating they may require outreach and planning. The candidate's platform activity suggests they are not highly engaged in their job search.",Notice period is 120 days — plan timeline accordingly; Passive candidate — outreach required; no recent application activity,True
