rank,candidate_id,composite_score,semantic_score,trajectory_score,stability_score,platform_score,cert_bonus,match_summary,skill_alignment,seniority_assessment,trajectory_signal,platform_summary,flags,grounding_validated
11,CAND_0080051,0.6774641734262462,0.6585267198880513,0.7524,0.8911111111111112,0.6010657739938081,0.1,This candidate is a moderate match for the Intelligence Layer Owner role based on their 5.2 years of experience and certifications in Deep Learning Specialization and LangChain for LLM Application Development.,"The candidate's experience with systems like llamaindex and opencv maps to the JD's requirements for production experience with embeddings-based retrieval systems, although there is a weak direct skill match. Their experience with diffusion models and feature engineering could be an asset in this role.","The candidate's seniority level, with 5.2 years of experience and a latest seniority level of 0.5, represents a calculated stretch for the role's requirement of 0.75, but their certifications and experience demonstrate potential for growth.","The candidate's career arc reveals a total experience of 5.2 years and 10 out of 10 eligible companies with promotions detected, indicating a strong trajectory signal.","The candidate is open to work, has applied to 7 jobs in the last 30 days, and has a notice period of 30 days, demonstrating their intent and readiness to move to a new role.",No flags,True
12,CAND_0045141,0.6737828638746151,0.6594742594559987,0.5836,0.885,0.8215843653250774,0.0,This candidate is a moderate match for the Intelligence Layer Owner role based on their 5.3 years of experience and ability to work with systems like yolo and microservices.,"The candidate's experience with recommendation systems and milvus maps to the JD's requirements for production experience with vector databases or hybrid search infrastructure, although there is a weak direct skill match. Their experience with tts could be an asset in this role.","The candidate's seniority level, with 5.3 years of experience and a latest seniority level of 0.5, represents a calculated stretch for the role's requirement of 0.75, but their experience demonstrates potential for growth.","The candidate's career arc reveals a total experience of 5.3 years, but no internal promotions were detected, indicating a need for further evaluation of their trajectory.","The candidate is open to work, has applied to 8 jobs in the last 30 days, and has a notice period of 30 days, demonstrating their intent and readiness to move to a new role.",No flags,True
13,CAND_0005649,0.673988491819898,0.6670465857982635,0.7488,0.6411111111111112,0.7857776006191951,0.0,This candidate is a moderate match for the intelligence layer of Redrob's product based on their weak direct skill match and career context similarity.,"The candidate's skills, although not a direct match, showed similarity to the JD requirements through their career context, which may include experience with production experience with embeddings-based retrieval systems, vector databases, or hybrid search infrastructure, strong Python, and designing evaluation frameworks for ranking systems, such as those using haystack or redis. However, specific skills like object detection or deep learning were not directly mentioned. Their experience with prompt engineering could be valuable. Given 7.4 years of experience, they likely have hands-on knowledge of relevant systems.","This candidate's seniority level, with a latest seniority level of 0.75 and 7.4 years of experience, suggests they could be a good fit for the role's seniority requirement, potentially bringing a balanced mix of experience and growth potential.","The candidate's career arc, although lacking detailed information on promotions or increasing scope, shows a total experience of 7.4 years, indicating potential for a stable and experienced approach to the role.","The candidate is open to work, has submitted 8 applications in the last 30 days, and has a notice period of 90 days, indicating they are actively looking and could be available for the role in a reasonable timeframe.",No flags,True
14,CAND_0052335,0.673396198907609,0.6603503162066141,0.5968,1.0,0.7153679411764706,0.0,This candidate is a moderate match for the intelligence layer of Redrob's product based on their weak direct skill match and career context similarity.,"The candidate's skills, although not a direct match, showed similarity to the JD requirements through their career context, which may include experience with production experience with embeddings-based retrieval systems, vector databases, or hybrid search infrastructure, strong Python, and designing evaluation frameworks for ranking systems, such as those using diffusion models or pytorch. Given 6.4 years of experience, they likely have hands-on knowledge of relevant systems, including potential experience with gans or machine learning.","This candidate's seniority level, with a latest seniority level of 0.5 and 6.4 years of experience, may represent a calculated stretch for the role's seniority requirement, suggesting potential for growth into the position.","The candidate's career arc, although lacking detailed information on promotions or increasing scope, shows a total experience of 6.4 years, indicating potential for a developing professional.","The candidate is open to work, has submitted 9 applications in the last 30 days, and has a notice period of 60 days, indicating they are actively looking and could be available for the role in a short timeframe.",No flags,True
15,CAND_0059604,0.6732965287777238,0.657252334912618,0.7452,0.8077777777777778,0.6789577244582043,0.0,This candidate is a moderate match for the intelligence layer of Redrob's product based on their weak direct skill match and career context similarity.,"The candidate's skills, although not a direct match, showed similarity to the JD requirements through their career context, which may include experience with production experience with embeddings-based retrieval systems, vector databases, or hybrid search infrastructure, strong Python, and designing evaluation frameworks for ranking systems, such as those using llms or computer vision. Given 7.1 years of experience, they likely have hands-on knowledge of relevant systems, including potential experience with css, scrum, or grpc.","This candidate's seniority level, with a latest seniority level of 0.75 and 7.1 years of experience, suggests they could be a good fit for the role's seniority requirement, bringing a balanced mix of experience and growth potential.","The candidate's career arc, although lacking detailed information on promotions or increasing scope, shows a total experience of 7.1 years, indicating potential for a stable and experienced approach to the role.","The candidate is open to work, has submitted 10 applications in the last 30 days, but has a notice period of 120 days, indicating they are actively looking but may have a longer availability timeframe.",Notice period is 120 days — plan timeline accordingly,True
16,CAND_0095488,0.6732668197368001,0.656528286377589,0.7272,0.9266666666666666,0.6134095975232199,0.0,This candidate is a moderate match for the intelligence layer of Redrob's product based on their weak direct skill match and career context similarity.,"The candidate's skills, although not a direct match, showed similarity to the JD requirements through their career context, which may include experience with production experience with embeddings-based retrieval systems, vector databases, or hybrid search infrastructure, strong Python, and designing evaluation frameworks for ranking systems, such as those using mlops, tally, or gcp. Given 5.6 years of experience, they likely have hands-on knowledge of relevant systems, including potential experience with grpc or forecasting.","This candidate's seniority level, with a latest seniority level of 0.75 and 5.6 years of experience, may represent a calculated stretch for the role's seniority requirement, suggesting potential for growth into the position.","The candidate's career arc, although lacking detailed information on promotions or increasing scope, shows a total experience of 5.6 years, indicating potential for a developing professional.","The candidate is not open to work, having submitted 6 applications in the last 30 days, and has a notice period of 90 days, indicating they may require outreach and could be available in a reasonable timeframe if engaged.",Passive candidate — outreach required; no recent application activity,True
17,CAND_0008803,0.6709350635360083,0.6571744672457377,0.556,1.0,0.73462,0.1,"This candidate is a moderate match for the intelligence layer role based on their composite score of 0.671, indicating a potential fit for the position.","The candidate's skills, such as experience with vector search and semantic search, align with the JD's requirements of production experience with embeddings-based retrieval systems and vector databases, although the direct skill match is weak and mostly based on career context. Skills like yolo, gcp, and redis could be relevant to the role, but are not explicitly mentioned in the candidate's profile. Their experience with statistical modeling and prompt engineering could be valuable in designing evaluation frameworks for ranking systems.","The candidate's seniority level, with a latest seniority level of 0.5, may represent a calculated stretch for the role, which requires a seniority level of 0.75, indicating a potential need for growth into the position, with a total experience of 3.0 years.","The candidate's career arc, with no internal promotions detected and a total experience of 3.0 years, suggests a relatively stable trajectory without significant increases in scope or domain focus, which may impact their ability to own the intelligence layer of Redrob's product.","The candidate is open to work, has applied to 10 jobs in the last 30 days, and has a notice period of 90 days, indicating a high level of intent and responsiveness, which could facilitate a smoother hiring process.",No flags,True
18,CAND_0095528,0.6708950938475927,0.6642916967074077,0.7236,0.925,0.593715,0.0,"This candidate is a moderate match for the intelligence layer role based on their composite score of 0.671, indicating a potential fit for the position.","The candidate's skills, such as experience with opensearch and pytorch, align with the JD's requirements of production experience with embeddings-based retrieval systems and vector databases, although the direct skill match is weak and mostly based on career context. Skills like feature engineering, semantic search, and vector search could be relevant to the role, but are not explicitly mentioned in the candidate's profile. Their experience with 5.3 years could be valuable in driving the long-term architecture of candidate-JD matching at scale.","The candidate's seniority level, with a latest seniority level of 0.75, aligns with the role's requirement, indicating a good fit for the position, with a total experience of 5.3 years.","The candidate's career arc, with no internal promotions detected and a total experience of 5.3 years, suggests a relatively stable trajectory without significant increases in scope or domain focus, which may impact their ability to own the intelligence layer of Redrob's product.","The candidate is open to work, has applied to 8 jobs in the last 30 days, and has a notice period of 45 days, indicating a high level of intent and responsiveness, which could facilitate a smoother hiring process.",No flags,True
19,CAND_0072569,0.6694084041113214,0.6626607123215993,0.5836,0.905,0.754135773993808,0.1,"This candidate is a moderate match for the intelligence layer role based on their composite score of 0.669, indicating a potential fit for the position.","The candidate's skills, such as experience with recommendation systems and llms, align with the JD's requirements of production experience with embeddings-based retrieval systems and vector databases, although the direct skill match is weak and mostly based on career context. Skills like asr, mlops, and go could be relevant to the role, but are not explicitly mentioned in the candidate's profile. Their experience with 5.3 years could be valuable in driving the long-term architecture of candidate-JD matching at scale.","The candidate's seniority level, with a latest seniority level of 0.5, may represent a calculated stretch for the role, which requires a seniority level of 0.75, indicating a potential need for growth into the position, with a total experience of 5.3 years.","The candidate's career arc, with no internal promotions detected and a total experience of 5.3 years, suggests a relatively stable trajectory without significant increases in scope or domain focus, which may impact their ability to own the intelligence layer of Redrob's product.","The candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 120 days, indicating a high level of intent, but the long notice period may impact the hiring timeline.",Notice period is 120 days — plan timeline accordingly,True
20,CAND_0085049,0.6681893331540194,0.659339253505071,0.574,1.0,0.6946029721362229,0.1,"This candidate is a moderate match for the intelligence layer role based on their composite score of 0.668, indicating a potential fit for the position.","The candidate's skills, such as experience with salesforce crm and postgresql, align with the JD's requirements of production experience with embeddings-based retrieval systems and vector databases, although the direct skill match is weak and mostly based on career context. Skills like computer vision, image classification, and css could be relevant to the role, but are not explicitly mentioned in the candidate's profile. Their experience with 4.5 years could be valuable in designing evaluation frameworks for ranking systems.","The candidate's seniority level, with a latest seniority level of 0.5, may represent a calculated stretch for the role, which requires a seniority level of 0.75, indicating a potential need for growth into the position, with a total experience of 4.5 years.","The candidate's career arc, with no internal promotions detected and a total experience of 4.5 years, suggests a relatively stable trajectory without significant increases in scope or domain focus, which may impact their ability to own the intelligence layer of Redrob's product.","The candidate is open to work, has applied to 9 jobs in the last 30 days, and has a notice period of 60 days, indicating a high level of intent and responsiveness, which could facilitate a smoother hiring process.",No flags,True
